Student_ID,Student_Name,Tamil_Term1,English_Term1,Maths_Term1,Science_Term1,Social_Term1,Tamil_Term2,English_Term2,Maths_Term2,Science_Term2,Social_Term2,Tamil_Term3,English_Term3,Maths_Term3,Science_Term3,Social_Term3,Tamil_Final,English_Final,Maths_Final,Science_Final,Social_Final
STUD001,Arun Priya,38,44,41,44,43,45,42,51,42,43,48,50,49,61,47,55,60,52,62,58
STUD002,Bharathi Kumar,45,51,46,47,45,50,52,43,45,57,51,57,55,55,50,65,52,59,52,61
STUD003,Charan Sankar,53,46,40,42,50,55,46,49,48,59,58,62,57,54,62,64,57,57,54,59
STUD004,Deepa Murugan,51,47,54,55,53,55,56,45,54,50,62,62,56,53,59,65,59,66,66,70
STUD005,Elango Selvi,54,48,49,53,60,62,59,53,53,67,69,54,51,56,59,62,68,55,68,70
STUD006,Farzana Sankar,62,62,52,47,52,60,60,51,60,66,61,68,52,63,73,64,73,58,67,76
STUD007,Gokul Sankar,56,52,57,54,67,54,62,65,53,58,69,65,61,58,66,63,61,72,62,66
STUD008,Harini Selvi,67,55,56,67,66,62,60,61,67,68,74,74,70,62,68,70,63,69,62,71
STUD009,Ilamaran Balan,61,52,52,54,62,60,57,64,59,75,69,68,73,67,67,80,70,76,77,72
STUD010,Janani Priya,59,67,63,68,70,74,59,59,60,73,74,65,67,69,71,81,69,76,71,76
STUD011,Karthik Mary,65,58,68,60,60,62,62,65,66,76,81,79,68,77,68,74,79,65,80,78
STUD012,Lavanya Mary,69,71,71,63,67,73,68,61,64,75,69,67,79,83,85,76,70,83,72,77
STUD013,Madhan Raj,64,67,70,64,70,67,66,75,81,77,78,74,76,76,79,85,75,78,86,84
STUD014,Nivetha Raj,64,76,63,65,71,84,74,68,78,71,79,81,77,76,87,84,89,71,83,79
STUD015,Pranav Selvi,74,67,65,69,75,79,74,76,75,79,90,87,78,74,77,90,83,74,76,88
STUD016,Revathi Selvi,76,71,78,80,69,75,72,72,72,84,80,87,76,76,86,90,78,86,84,87
STUD017,Saravanan Priya,81,81,70,76,76,79,85,70,78,85,91,83,82,82,82,93,80,92,87,88
STUD018,Thenmozhi Mary,83,79,75,78,73,82,86,82,83,79,88,89,92,91,91,83,84,87,87,92
STUD019,Udhaya Devi,44,52,48,50,55,61,46,53,50,54,50,60,45,64,56,63,63,50,61,63
STUD020,Vaishnavi Priya,52,57,48,55,54,59,54,47,52,61,63,54,56,62,52,63,61,56,66,65
STUD021,Yazhini Mary,59,57,47,60,61,54,49,54,64,60,55,58,58,59,60,60,54,53,62,72
STUD022,Abinaya Sankar,49,59,56,52,60,66,61,54,54,52,58,66,58,59,72,72,57,61,60,73
STUD023,Balaji Selvi,63,63,55,62,66,66,65,54,67,68,65,62,61,72,73,67,66,70,61,70
STUD024,Chitra Nathan,59,59,57,52,56,59,60,63,58,62,61,70,68,68,74,75,61,64,74,75
STUD025,Dinesh Balan,53,63,64,52,65,66,67,66,63,73,68,67,70,75,62,76,72,72,68,79
